%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1724183039371464491,8878,1724183039371464491,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.000800461725568784,0.9999996796304617,0.0,0.0,0.0,0.0,0.0,-0.0028940836505057022
1724183039396739244,8879,1724183039396739244,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0008370353388478538,0.9999996496858594,0.0,0.0,0.0,0.0,0.0,-0.0028940836505057022
1724183039430679798,8880,1724183039430679798,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0010135421368228535,0.9999994863660365,0.0,0.0,0.0,0.0,0.0,-0.0012507845005155663
1724183039456613779,8881,1724183039456613779,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.001029761039057613,0.9999994697959607,0.0,0.0,0.0,0.0,0.0,-0.0012507845005155663
1724183039490221977,8882,1724183039490221977,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0008442371055861307,0.9999996436317913,0.0,0.0,0.0,0.0,0.0,0.0012704215839334987
1724183039516719818,8883,1724183039516719818,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.000827405396973886,0.9999996577000959,0.0,0.0,0.0,0.0,0.0,0.0012704215839334987
1724183039550603151,8884,1724183039550603151,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0008937994877787211,0.999999600561158,0.0,0.0,0.0,0.0,0.0,-0.00043749819678739414
1724183039576621532,8885,1724183039576621532,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0008994909829021729,0.9999995954579041,0.0,0.0,0.0,0.0,0.0,-0.00043749819678739414
1724183039596750259,8886,1724183039596750259,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0009038941219863152,0.9999995914876246,0.0,0.0,0.0,0.0,0.0,-0.00043749819678739414
1724183039609796047,8887,1724183039609796047,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.0009739758216147779,0.9999995256854369,0.0,0.0,0.0,0.0,0.0,-0.0014807584092032201
