Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance,Topic,MessageType
1724458963.95322,10754,1724458963,939971685,odom,base_footprint,0.003554162196799,0.0025767428880308,0.0,0.0,0.0,-0.809328148009214,0.5873567475052753,"(13.018920572584058, -0.00013862438805087497, 0.0, 0.0, 0.0, -0.039112052890425505, -0.00013862438805087668, 13.019004344992746, 0.0, 0.0, 0.0, 0.052943770389869256, 0.0, 0.0, 9.993970159894768e-07, -5.473661769014071e-19, -3.886154089352117e-17, 0.0, 0.0, 0.0, -5.4736617690140675e-19, 9.987951218801177e-07, -3.5276759347858933e-26, 0.0, 0.0, 0.0, -3.886154089352118e-17, -3.5277653647162185e-26, 9.987951218801177e-07, 0.0, -0.03911205289042549, 0.05294377038986925, 0.0, 0.0, 0.0, 15.618418984930855)",0.0002300835511196,0.0,0.0,0.0,0.0,0.5692803993341763,"(9.410506808577124e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.410506808577124e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.990959328466894e-07, -3.392240391314785e-28, -2.4004919535361212e-26, 0.0, 0.0, 0.0, -3.3922403913147853e-28, 9.96398372551128e-07, -8.667448256564098e-35, 0.0, 0.0, 0.0, -2.4004919535361218e-26, -8.667671121658612e-35, 9.96398372551128e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.469312972655325e-05)",/odom,nav_msgs/Odometry
1724458963.973187,10755,1724458963,972353697,odom,base_footprint,0.0035519042477726,0.0025698185975626,0.0,0.0,0.0,-0.8038800481394028,0.5947914493361446,"(13.020539787075384, -0.00013816972117368232, 0.0, 0.0, 0.0, -0.03900390642071687, -0.00013816972117368406, 13.020623861372622, 0.0, 0.0, 0.0, 0.05290850479592675, 0.0, 0.0, 0.0019439211297518739, -1.3410014045467585e-13, -7.27440384610968e-12, 0.0, 0.0, 0.0, -1.3410014045467588e-13, 0.0009724605217702844, -2.2315214088881294e-24, 0.0, 0.0, 0.0, -7.27440384610968e-12, 1.8713291229189497e-24, 0.0009724605217702844, 0.0, -0.039003906420716855, 0.05290850479592674, 0.0, 0.0, 0.0, 15.620361994726602)",0.0002197427542308,0.0,0.0,0.0,0.0,0.5692803993341763,"(0.0009241946302800209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009241946302800209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012962805985501182, -3.3962680091494435e-28, -2.4033420633272733e-26, 0.0, 0.0, 0.0, -3.396268009149444e-28, 0.0003248165125082933, -8.667448256564098e-35, 0.0, 0.0, 0.0, -2.403342063327274e-26, -8.667671121658612e-35, 0.0003248165125082933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007323333579980376)",/odom,nav_msgs/Odometry
1724458964.0135276,10756,1724458963,997016191,odom,base_footprint,0.0035524174566663,0.0025706151843557,0.0,0.0,0.0,-0.7994811378703083,0.600691193700721,"(13.021772699876314, -0.00013783986279879533, 0.0, 0.0, 0.0, -0.038924402734739044, -0.00013783986279879701, 13.021857006192423, 0.0, 0.0, 0.0, 0.05288419906476526, 0.0, 0.0, 9.993248944486301e-07, -3.542686827737418e-20, -2.422027216346099e-18, 0.0, 0.0, 0.0, -3.542686827737417e-20, 9.986511549354682e-07, -1.2868319201493996e-28, 0.0, 0.0, 0.0, -2.4220272163460988e-18, -1.2514450276633989e-28, 9.986511549354682e-07, 0.0, -0.03892440273473903, 0.052884199064765255, 0.0, 0.0, 0.0, 15.621841734902704)",1.261798052132603e-05,0.0,0.0,0.0,0.0,0.6304290957141925,"(9.404438862139854e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.404438862139854e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.989878541453804e-07, -2.1939312156312637e-29, -1.4953160212512317e-27, 0.0, 0.0, 0.0, -2.1939312156312637e-29, 9.959697599466779e-07, -3.1590832362547717e-37, 0.0, 0.0, 0.0, -1.4953160212512319e-27, -3.072297583332348e-37, 9.959697599466779e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.317192572365129e-05)",/odom,nav_msgs/Odometry
1724458964.033183,10757,1724458964,32356739,odom,base_footprint,0.0035523702992442,0.0025704524558504,0.0,0.0,0.0,-0.7927400578026063,0.6095598418163064,"(13.02354047154644, -0.00013782942157751206, 0.0, 0.0, 0.0, -0.038921860615781845, -0.00013782942157751374, 13.023624785542626, 0.0, 0.0, 0.0, 0.052883462378980395, 0.0, 0.0, 0.002121433426672876, -3.769708618922179e-15, -1.6919759179566847e-13, 0.0, 0.0, 0.0, -3.769708618922178e-15, 0.0010612168176456535, -1.188850369346797e-25, 0.0, 0.0, 0.0, -1.691975917956685e-13, 1.2977762942305035e-24, 0.0010612168176456535, 0.0, -0.03892186061578183, 0.05288346237898038, 0.0, 0.0, 0.0, 15.623962271970665)",-3.029917620852905e-06,0.0,0.0,0.0,0.0,0.6304290957141925,"(0.0010016440484768802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010016440484768802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014146221359141464, -2.196469485522933e-29, -1.4970460148437869e-27, 0.0, 0.0, 0.0, -2.196469485522933e-29, 0.0003544014453764018, -3.1590832362547717e-37, 0.0, 0.0, 0.0, -1.497046014843787e-27, -3.072297583332348e-37, 0.0003544014453764018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007899828769565615)",/odom,nav_msgs/Odometry
1724458964.0735636,10758,1724458964,57114601,odom,base_footprint,0.003517262308143,0.0024626197411839,0.0,0.0,0.0,-0.7876331466923261,0.6161444848666137,"(13.024778555504588, -0.0001378422971413641, 0.0, 0.0, 0.0, -0.038925042451419554, -0.00013784229714136574, 13.024862859369073, 0.0, 0.0, 0.0, 0.05288430761475667, 0.0, 0.0, 9.993274923415513e-07, 1.5727298500241387e-21, 9.515800216485305e-20, 0.0, 0.0, 0.0, 1.5727298500241395e-21, 9.98656340318121e-07, -1.4670977638451028e-30, 0.0, 0.0, 0.0, 9.515800216485307e-20, 1.6364353225750127e-31, 9.98656340318121e-07, 0.0, -0.03892504245141954, 0.05288430761475665, 0.0, 0.0, 0.0, 15.625447733530297)",0.0035550961440652,0.0,0.0,0.0,0.0,0.6670822473537901,"(9.432292023711407e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.432292023711407e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.989917470591364e-07, 9.741342706210917e-31, 5.877440679934578e-29, 0.0, 0.0, 0.0, 9.741342706210915e-31, 9.959851920438496e-07, -3.564986974259278e-39, 0.0, 0.0, 0.0, 5.877440679934578e-29, 3.4683397565340338e-40, 9.959851920438496e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.322576952037558e-05)",/odom,nav_msgs/Odometry
1724458964.0932598,10759,1724458964,92375994,odom,base_footprint,0.0034868205405925,0.0023398835387019,0.0,0.0,0.0,-0.7803322880764622,0.6253651095043224,"(13.026533063757523, -0.0001302249124285418, 0.0, 0.0, 0.0, -0.03700723433450465, -0.0001302249124285433, 13.026623481957827, 0.0, 0.0, 0.0, 0.05240864136697527, 0.0, 0.0, 0.0021166841256095655, -2.9705101621137035e-12, -1.2628512557020453e-10, 0.0, 0.0, 0.0, -2.9705101621137035e-12, 0.001058842225073224, -4.636693973225666e-25, 0.0, 0.0, 0.0, -1.2628512557020456e-10, 5.062283383886512e-25, 0.001058842225073224, 0.0, -0.03700723433450464, 0.05240864136697525, 0.0, 0.0, 0.0, 15.627563520901353)",0.0036173396903441,0.0,0.0,0.0,0.0,0.6670822473537901,"(0.000999853018182299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000999853018182299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014114559355159714, 9.752631452721269e-31, 5.884251781698094e-29, 0.0, 0.0, 0.0, 9.752631452721267e-31, 0.00035360991112588173, -3.564986974259278e-39, 0.0, 0.0, 0.0, 5.884251781698094e-29, 3.4683397565340338e-40, 0.00035360991112588173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007884536213880514)",/odom,nav_msgs/Odometry
1724458964.1331737,10760,1724458964,116448641,odom,base_footprint,0.0034668228169744,0.0022512453361086,0.0,0.0,0.0,-0.7747017583758017,0.632326802823857,"(13.027730624397684, -0.00012506454411080487, 0.0, 0.0, 0.0, -0.03567120803906436, -0.00012506454411080636, 13.02782526393565, 0.0, 0.0, 0.0, 0.052110791609985975, 0.0, 0.0, 9.993083696252699e-07, -7.387140310086714e-19, -4.183592267912133e-17, 0.0, 0.0, 0.0, -7.387140310086713e-19, 9.98618173055562e-07, -4.468150436664891e-26, 0.0, 0.0, 0.0, -4.1835922679121315e-17, -4.468535689496032e-26, 9.98618173055562e-07, 0.0, -0.03567120803906434, 0.05211079160998595, 0.0, 0.0, 0.0, 15.629007869536713)",0.003763588976401,0.0,0.0,0.0,0.0,0.774486905546079,"(9.42564794295464e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.42564794295464e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.98963092302978e-07, -4.574540201849421e-28, -2.5834096429152087e-26, 0.0, 0.0, 0.0, -4.574540201849423e-28, 9.95871620011095e-07, -1.0971396145096996e-34, 0.0, 0.0, 0.0, -2.5834096429152096e-26, -1.097235739446874e-34, 9.95871620011095e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.283109577231801e-05)",/odom,nav_msgs/Odometry
1724458964.153335,10761,1724458964,152359486,odom,base_footprint,0.0034395117723962,0.0021176756440713,0.0,0.0,0.0,-0.7658338477415559,0.6430385040208426,"(13.029517696350434, -0.00011718691726322973, 0.0, 0.0, 0.0, -0.03358364627105697, -0.0001171869172632312, 13.029618751495226, 0.0, 0.0, 0.0, 0.0516839470793424, 0.0, 0.0, 0.002155651285226398, -3.786528074557097e-12, -1.361449058711471e-10, 0.0, 0.0, 0.0, -3.786528074557097e-12, 0.001078326018993637, -2.6462555752542565e-24, 0.0, 0.0, 0.0, -1.361449058711471e-10, 1.025720594620241e-24, 0.001078326018993637, 0.0, -0.03358364627105695, 0.051683947079342374, 0.0, 0.0, 0.0, 15.631162627384173)",0.0038292846210089,0.0,0.0,0.0,0.0,0.774486905546079,"(0.0010168372653111203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010168372653111203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014374340412411943, -4.579789408450256e-28, -2.586374033940169e-26, 0.0, 0.0, 0.0, -4.579789408450257e-28, 0.00036010431964857555, -1.0971396145096996e-34, 0.0, 0.0, 0.0, -2.5863740339401703e-26, -1.097235739446874e-34, 0.00036010431964857555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000801047991829447)",/odom,nav_msgs/Odometry
1724458964.1732843,10762,1724458964,172360420,odom,base_footprint,0.003426198296829,0.0020418808405903,0.0,0.0,0.0,-0.7608304452618266,0.6489507173604869,"(13.03051404988113, -0.0001128382008824345, 0.0, 0.0, 0.0, -0.03239888536700565, -0.00011283820088243596, 13.030618732743612, 0.0, 0.0, 0.0, 0.05147584197681999, 0.0, 0.0, 0.0033562838531075827, -1.291337084730096e-09, -8.311892215629772e-08, 0.0, 0.0, 0.0, -1.2913370847300959e-09, 0.0016787582918672138, -4.8743581121742286e-21, 0.0, 0.0, 0.0, -8.311892215629772e-08, 3.5341191771462184e-21, 0.0016787582918672138, 0.0, -0.03239888536700563, 0.05147584197681996, 0.0, 0.0, 0.0, 15.632363123086368)",0.0038658745229891,0.0,0.0,0.0,0.0,0.774486905546079,"(0.0015487037065437476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015487037065437476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00223768874195568, -4.582713011013936e-28, -2.5880250836814665e-26, 0.0, 0.0, 0.0, -4.582713011013937e-28, 0.0005601136656568763, -1.0971396145096996e-34, 0.0, 0.0, 0.0, -2.5880250836814677e-26, -1.097235739446874e-34, 0.0005601136656568763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012010666838460486)",/odom,nav_msgs/Odometry
1724458964.1931489,10763,1724458964,176263809,odom,base_footprint,0.0034542436871268,0.0021430019337107,0.0,0.0,0.0,-0.7596808177403842,0.6502961288192488,"(13.030706966446393, -0.00011199396398472715, 0.0, 0.0, 0.0, -0.03216571501020723, -0.0001119939639847286, 13.030812367808709, 0.0, 0.0, 0.0, 0.05143869755618523, 0.0, 0.0, 9.957573775169808e-07, -8.464394231187625e-19, -2.702012009275308e-16, 0.0, 0.0, 0.0, -8.464394231187625e-19, 9.915684057698238e-07, -2.9598900461995182e-25, 0.0, 0.0, 0.0, -2.7020120092753083e-16, -2.9599294641531664e-25, 9.915684057698238e-07, 0.0, -0.03216571501020721, 0.0514386975561852, 0.0, 0.0, 0.0, 15.6325970262126)",0.0002208064939627,0.0,0.0,0.0,0.0,0.8056237149284167,"(9.429884805504325e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.429884805504325e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.936562494740336e-07, -1.4851742019258209e-24, -9.539776531340545e-23, 0.0, 0.0, 0.0, -1.4851742019258209e-24, 9.753290145889456e-07, -2.8487539693878496e-28, 0.0, 0.0, 0.0, -9.539776531340546e-23, -2.8487532102122947e-28, 9.753290145889456e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.415391531902413e-05)",/odom,nav_msgs/Odometry
